articlecreators,articlecreator_id,magazine_article_creators,magazine_article_creator_id
bookcreators,bookcreator_id,rpg_book_creators,rpg_book_creator_id
books,book_id,rpg_books,rpg_book_id
comic_titles,comic_title_id,comic_titles,comic_title_id
comiccreators,comiccreator_id,comic_creators,comic_creator_id
comics,comic_id,comics,comic_id
creators,creator_id,creators,creator_id
credits,credit_id,credits,credit_id
fictioncreators,fictioncreator_id,fictional_book_creators,fictional_book_creator_id
fictions,fiction_id,fictional_books,fictional_book_id
gamelines,gameline_id,game_lines,game_line_id
gamesystems,gamesystem_id,game_systems,game_system_id
gametypes,gametype_id,game_types,game_type_id
magazine_articles,magazine_article_id,magazine_articles,magazine_article_id
magazine_titles,magazine_title_id,magazine_titles,magazine_title_id
magazinecreators,magazinecreator_id,magazine_creators,magazine_creator_id
magazines,magazine_id,magazines,magazine_id
other_games,other_game_id,other_games,other_game_id
othergamecreators,othergamecreator_id,other_game_creators,other_game_creator_id
publisherlines,publisherline_id,publisher_lines,publisher_line_id
publishers,publisher_id,publishers,publisher_id
release_months,release_month_id,release_months,release_month_id
shortfictioncreators,shortfictioncreator_id,fictional_story_creators,fictional_story_creator_id
shortfictions,shortfiction_id,fictional_stories,fictional_story_id
urls,url_id,urls,url_id
